lesson_id,dialogue_line,scene,speaker,amis_text,chinese_translation,audio_url
1,1,未知場景,未知說話者,Talacowa kiso?,你要去哪裡？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d1.mp3
1,2,未知場景,未知說話者,Miliso’ kako to malitengay niyam.,我要去探訪我們的父母親。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d2.mp3
1,3,未知場景,未知說話者,Fangcal to cangra?,他們好嗎？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d3.mp3
1,4,未知場景,未知說話者,"Fangcal to, awa ko kihar nangra.",很平安，他們沒煩惱。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d4.mp3
1,5,未知場景,未知說話者,Pina a romi’ad ko kailoma’an iso?,你要回去幾天呢？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d5.mp3
1,6,未知場景,未知說話者,Tosa a romi’ad i loma’ kako.,我在家只待兩天。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d6.mp3
1,7,未知場景,未知說話者,O maan ko pidadakawan iso a minokay?,你搭什麼車回去呢？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d7.mp3
1,8,未知場景,未知說話者,O cinamalay.,搭火車。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d8.mp3
1,9,未知場景,未知說話者,Ano patatikol kiso katayni i loma’ malaholol malafi.,假如你回來後，請來到家裡寒喧吃晚餐。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d9.mp3
1,10,未知場景,未知說話者,’Aray! haen han aca.,謝謝！就這樣說定。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d10.mp3
1,11,未知場景,未知說話者,Hayda! na’onen ko rakat.,好吧！路上小心。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c1d11.mp3
2,1,未知場景,未知說話者,Cima ko ngangan iso?,你叫什麼名字？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d1.mp3
2,2,未知場景,未知說話者,Ci Panay kako.,我是Panay。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d2.mp3
2,3,未知場景,未知說話者,Cima kora fafahiyan?,那位女生是誰？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d3.mp3
2,4,未知場景,未知說話者,"Ci Rongac cingra, o widang ako.",他叫Rongac，是我的朋友。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d4.mp3
2,5,未知場景,未知說話者,Nga’ay ho kiso Rongac?,Rongac你好嗎？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d5.mp3
2,6,未知場景,未知說話者,"Mamaan aca, kiso hani?",我很好，你呢？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d6.mp3
2,7,未知場景,未知說話者,I cowa ko niyaro’ iso Rongac?,Rongac你的部落在哪裡。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d7.mp3
2,8,未知場景,未知說話者,I tini i Posong Kakacawan.,在臺東縣長濱鄉。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d8.mp3
2,9,未知場景,未知說話者,O maan ko tayal iso?,你做什麼工作？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d9.mp3
2,10,未知場景,未知說話者,"O singsi kako, pasifana’ to caciyaw, o radiw ato serangawan no Pangcah.",我是老師，教阿美族族語、歌謠和文化。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d10.mp3
2,11,未知場景,未知說話者,’Aloman ko mitiliday i tira?,在那裡有很多學生嗎？,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d11.mp3
2,12,未知場景,未知說話者,"Hai, saheto o wawa no Pangcah.",是的，都是阿美族的孩子。,https://web.klokah.tw/extension/con_data/sound/3/dialogue/3c2d12.mp3
